trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-112.7567536666235,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-190.38974396317025,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-258.4353475576299,"{0: 16, 1: 2, 2: 5, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-158.6202637122033,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-232.11750745518373,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-179.46651125622387,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-26.19272082090218,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-179.7116752232523,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-80.304025282713,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-33.048602046902204,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.28518029297814,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-122.24859533364047,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-73.76201546294836,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,8,-93.72479195784007,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-93.33222291145779,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-27.63968526380514,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-92.99650166689469,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,0.8915363661267208,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,2,-29.959021442849707,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,1,5.513789059232292,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,17.523549841938753,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-2.8690269534274853,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-106.8564018859751,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,0,-15.645351907851555,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,42.98729994298117,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-25.342926225845105,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-6.9094573269019595,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,8,24.124122942777458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,16,15.767789065710447,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,16,-69.10994758273682,"{0: 9, 1: 2, 2: 1, 3: 1, 4: 1}",1
