trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",25,0,-185.95723168151267,"{0: 10, 1: 4, 2: 6, 3: 4, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-208.92546643105754,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",25,0,-41.987333582258366,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-18.410452694487198,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",20,0,-99.82074594555237,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-80.99440234700646,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-193.310529274958,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",30,11,-68.09740160604957,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-87.81813833570577,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-121.27506258572062,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",35,0,-194.5932511601228,"{0: 17, 1: 5, 2: 11, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-196.64087588286637,"{0: 13, 1: 3, 2: 2, 3: 5, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-48.723373909517605,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-51.88479219280153,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-49.38933141531724,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-136.72823422414965,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",30,0,-301.9015064878219,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 6}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-115.80869337313622,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",35,0,-98.92209909826173,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-37.23907373429357,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,11,-36.10643262597283,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",25,0,-56.592885221925876,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-125.67776127327905,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",25,0,-344.24272456645286,"{0: 11, 1: 2, 2: 1, 3: 5, 4: 6}",0
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",25,0,-95.88148809764407,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",25,0,-139.99144964182292,"{0: 11, 1: 7, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",25,0,-170.67355298137784,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",20,0,-107.17304096194479,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",25,0,-208.1547558607234,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",25,0,-200.83148982763902,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",20,10,-21.952544522148656,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",25,0,-80.33655892586758,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,5,-108.67840004268479,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,4,-137.56124787980974,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 3}",1
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",35,0,-230.9884750946862,"{0: 19, 1: 2, 2: 10, 3: 1, 4: 3}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",30,0,-26.033365756558645,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",20,0,-105.48205703687583,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",25,0,-67.4088381175819,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",30,5,-135.45938809308586,"{0: 14, 1: 7, 2: 0, 3: 2, 4: 2}",1
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",30,0,-144.02321354387723,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,0,-148.55095138616164,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",30,0,-204.08250957363379,"{0: 12, 1: 6, 2: 9, 3: 1, 4: 2}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-77.3361120092933,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,0,-94.15787297310591,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-107.92334716342322,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",20,0,-142.73687674092966,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",20,0,-47.458737813905394,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",20,0,-159.23818133281236,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",30,11,-47.009685239030176,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",25,0,-51.795795181627774,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",25,0,-56.95098536115868,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-98.2775689027207,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",25,0,-72.03595761453754,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",25,0,-163.52574414031412,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",25,0,-49.29794595341679,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",25,0,-154.78582668701955,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,11,-37.909947981498455,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-93.16135931479704,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",20,0,-59.40848557162657,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",20,0,-203.43924779688538,"{0: 7, 1: 5, 2: 3, 3: 2, 4: 3}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",25,0,-53.446414660025376,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",25,0,-24.951864517320946,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",25,0,-181.01990699750732,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 3}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,9,-21.13656710959199,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",20,0,-65.12222411092282,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,0,-112.10043599037301,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-102.9559101881952,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",20,9,-87.33806890515878,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",30,0,-90.23746081897895,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-84.5535547275511,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",25,0,-137.4144511019508,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",25,0,-92.43536376065585,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",1
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",25,0,-152.79278889620912,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",20,0,-117.26563198021746,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,0,-179.12886476954958,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 3}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-123.68843374934653,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
