trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-275.80140681509897,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-429.04498037570914,"{0: 9, 1: 0, 2: 18, 3: 3, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-275.23259831291324,"{0: 14, 1: 0, 2: 11, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-244.12176773764642,"{0: 4, 1: 0, 2: 13, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.62992747564243,"{0: 10, 1: 0, 2: 6, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.85557389529518,"{0: 6, 1: 0, 2: 12, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.3005235635242,"{0: 6, 1: 0, 2: 10, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.32547219357446,"{0: 9, 1: 0, 2: 12, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.3521069289331,"{0: 14, 1: 0, 2: 11, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-226.4039608381748,"{0: 6, 1: 0, 2: 9, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-284.4510963569965,"{0: 9, 1: 0, 2: 11, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.44666856220329,"{0: 8, 1: 0, 2: 8, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.2946846444418,"{0: 7, 1: 0, 2: 8, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.74858020485172,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-337.1913470096361,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.72496589938208,"{0: 8, 1: 0, 2: 6, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-246.292879099221,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-343.63848022155764,"{0: 12, 1: 0, 2: 11, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-283.2282212985339,"{0: 9, 1: 0, 2: 9, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-262.84796297193265,"{0: 10, 1: 0, 2: 10, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-331.644394312112,"{0: 8, 1: 0, 2: 14, 3: 6, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-285.7588346468215,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-350.2233779330845,"{0: 13, 1: 0, 2: 8, 3: 4, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-381.4193593340414,"{0: 11, 1: 0, 2: 9, 3: 5, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-343.90581015230316,"{0: 15, 1: 0, 2: 15, 3: 0, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-258.3601161793662,"{0: 8, 1: 0, 2: 3, 3: 6, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.48656327386793,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-212.06986208952978,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-214.4865812261883,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.33600223590568,"{0: 7, 1: 0, 2: 9, 3: 2, 4: 2}",0
